"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"782.52651723","015882448","Monograph","Notated music","Volume","","","9780687076482","Burrows, Mark","","person","","Burrows, Mark [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Love came down at Christmas : Christmas anthem for SATB voices, opt. solo, and piano","","","","United States of America","Nashville, Tennessee","Abingdon Press","2004","","1 score (4 pages), 27 cm","F.231.vv. (13.)","Christmas music ; Choruses, Sacred (Mixed voices, 4 parts) with piano ; Anthems","","English","",""
"782.52651726","010282107","Monograph","Notated music","Volume","","","","Rogers, Timothy","1961-","person","","Rogers, Timothy, 1961- [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Good Friday","","","","England","Dorking","Encore Publications","2001","","1 score (3 pages), 26 cm","F.638.aa. (26.)","Good Friday music ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Anthems ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","For mixed voices (SATB), unacc",""
"782.528","014690643","Monograph","Notated music","Volume","","","","Ledger, Philip","","person","","Ledger, Philip [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","In the bleak mid-winter","","","","England","Matfield","Encore Publications","2007","","1 score (4 pages), 26 cm","F.1147.b. (45.)","Carols, English ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Caption title ; For mixed voices (SATB), unacc",""
"782.5281722","013472156","Monograph","Notated music","Volume","","","9780193868755","Voth, Ellen Gilson","1972-","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Voth, Ellen Gilson, 1972- [person]","An Advent carol : for mixed choir (SATB) and keyboard","This Advent moon shines cold and clear","Oxford Advent music","","United States of America","New York","Oxford University Press","2005","","1 score (7 pages), 27 cm","F.638.ii. (22.)","Carols, English ; Advent music ; Choruses, Sacred (Mixed voices, 4 parts) with keyboard instrument ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","First line: This Advent moon shines cold and clear ; Includes biographical note ; Words by Christina Rossetti",""
"782.5281723","007622193","Monograph","Notated music","Volume","","","9781844492589","Swayne, Giles","","person","","Swayne, Giles [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Midwinter : op. 81 : for SATB (2003)","","","","England","London","Novello","2003","","1 score (21 pages), 25 cm","E.756.k. (2.)","Christmas music ; Carols, English ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied","","English","Caption has 'op. 91' (apparently incorrect) ; Words by Christina Rossetti",""
"782.5281723","012201186","Monograph","Notated music","Volume","","","","Darke, Harold","1888-1976","person","","Darke, Harold, 1888-1976 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Whittier, John Greenleaf, 1807-1892 [person]","Three carols","3 carols ; Carols. Selections ; Christmas Carmen ; Cradle hymn ; Love came down at Christmas","","","England","London","Stainer & Bell","2002","","1 score (8 pages), 26 cm","E.756.g. (1.)","Carols, English ; Whittier, John Greenleaf, 1807-1892--Musical settings ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Sacred songs (Medium voice) with piano ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","1st and 3rd works for mixed chorus (SATB) unacc.; 2nd work for solo or unison voices and piano ; Words by Christina Rossetti (1st work) and John Greenleaf Whittier (3rd work)",""
"782.5281723","013177887","Monograph","Notated music","Volume","","","9780193867697","","","","","Angelus Silesius, 1624-1677 [person] ; Lockwood, Robert (Robert M.) [person] ; Bacon, Ernst, 1898-1990 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Three carols for Christmas : for unaccompanied mixed choir (SATB)","3 carols for Christmas ; Carols for Christmas ; Cherubic pilgrim ; In the bleak mid-winter ; Love came down at Christmas","Oxford Christmas music","","United States of America","New York","Oxford University Press","2004","","1 score (7 pages), 27 cm","F.638.y. (2.)","Angelus Silesius, 1624-1677--Musical settings ; Carols, English ; Christmas music ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Words by Christina Rossetti (1st and 3rd works) and Angelus Silesius (2nd work)",""
"782.5281723","013456063","Monograph","Notated music","Volume","","","","Hare, Ian","","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Hare, Ian [person]","Before the paling of the stars","","Eboracum choral series","443 [Eboracum choral series]","England","Sand Hutton","Banks Music","2004","","1 score (7 pages), 26 cm","F.1874.x./443","Carols, English ; Choruses, Sacred (Mixed voices, 4 parts) with organ ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Caption title ; For mixed voices (SATB) and organ",""
"782.5281723","014659473","Monograph","Notated music","Volume","","","9780193360617","Bullard, Alan","1947-","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Bullard, Alan, 1947- [person]","Love came down at Christmas : SATB and piano","","","","England","Oxford","Oxford University Press","2008","","1 score (8 pages), 26 cm","F.1777.m./X488","Carols ; Choruses, Sacred (Mixed voices, 4 parts) with piano ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Words by Christina Rossetti, altered",""
"782.5281723","014893039","Monograph","Notated music","Volume","","","","Bryden, Andrew","","person","","Bryden, Andrew [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","In the bleak mid-winter : Christmas carol for mixed voices and organ or piano","","","","England","Matfield","Encore Publications","2008","","1 score (8 pages), 26 cm","F.1147.b. (18.)","Carols, English ; Christmas music ; Choruses, Sacred (Mixed voices, 4 parts) with piano ; Choruses, Sacred (Mixed voices, 4 parts) with organ ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Chorus: SATB ; Words by Christina Rossetti",""
"782.5281723","015444028","Monograph","Notated music","Volume","","","","Clucas, Humphrey","1941-","person","","Clucas, Humphrey, 1941- [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Love came down at Christmas : carol for mixed voices and organ or piano","","","","England","Dalton-in-Furness","Animus","1998","","1 score (6 pages), 26 cm","E.904.uu. (11.)","Carols, English ; Choruses, Sacred (Mixed voices, 4 parts) with piano ; Choruses, Sacred (Mixed voices, 4 parts) with organ ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Chorus: SATB ; Words by Christina Rossetti",""
"782.5281723","015444682","Monograph","Notated music","Volume","","","","Smith, Alan","1962-2017","person","","Smith, Alan, 1962-2017 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Love came down at Christmas : carol for SAB and organ","","","","England","Dalton-in-Furness","Animus","2001","","1 score (4 pages), 26 cm","E.904.vv. (18.)","Carols, English ; Choruses, Sacred (Mixed voices, 3 parts) with organ ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Words by Christina Rossetti",""
"782.5281723","015823662","Monograph","Notated music","Volume","","","9780193376526","Holst, Gustav","1874-1934","person","","Wilberg, Mack [person] ; Holst, Gustav, 1874-1934 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","In the bleak mid-winter : SATB choir and keyboard","In the bleak midwinter ; In the bleak midwinter. arranged","Oxford Christmas music","","England","Oxford","Oxford University Press","2011","","7 pages of music, portraits, 27 cm","F.1329.uu. (24.)","Carols, English ; Choruses, Sacred (Mixed voices, 4 parts) with piano ; Choruses, Sacred (Mixed voices, 4 parts) with organ ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Biographical note about arranger on p [4] of cover ; The keyboard part may be played on piano or organ ; Words by Christina Rossetti",""
"782.5281723","016055817","Monograph","Notated music","Volume","","","9781780384214","Bennett, Richard Rodney","","person","","Bennett, Richard Rodney [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","In the bleak mid-winter : for SATB chorus unaccompanied","","","","England","London","Novello","2010","","1 score (11 pages), 25 cm","E.922. (6.)","Carols, English ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Christmas music ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Duration: 4:15 ; Includes piano reduction for rehearsal only ; Words by Christina Rossetti",""
"782.5281723","016327095","Monograph","Notated music","Volume","","","","Allain, Richard","","person","composer","Allain, Richard, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","In the bleak mid-winter : for SATB chorus unaccompanied","","","","England","London","Novello","2012","","1 score (7 pages), 25 cm","E.904.ww. (6.)","Carols, English ; Christmas music ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Duration: approximately 5 min ; Includes piano reduction for rehearsal only ; Words by Christina Rossetti",""
"782.5281723","016424173","Monograph","Notated music","Volume","","","9780193396951","McDowall, Cecilia","","person","composer","McDowall, Cecilia, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Before the paling of the stars","","New horizons","NH118 [New horizons]","England","Oxford","Oxford University Press","2013","","1 score (8 pages), 26 cm","E.904.zz. (22.)","Carols, English ; Christmas music ; Choruses, Sacred (Mixed voices, 4 parts) with organ ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","For mixed voices (SATB) and organ ; Words by Christina Rossetti",""
"782.5281723","017379795","Monograph","Notated music","Volume","","","9781873690154","Vann, Esther","","person","composer","Vann, Esther, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","In the bleak midwinter","","","","England","Hambrook, Ledbury","Acuta Music","2015","","1 score (8 pages), 30 cm","G.1580.bb. (35.)","Carols, English ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Christmas music ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","At end: '23rd December 2013' ; Caption title ; For unaccompanied mixed chorus (SATB) ; Includes piano reduction for rehearsal only",""
"782.5281723","018011315","Monograph","Notated music","Volume","","","9781784542429","McGlade, Becky","1974-","person","composer","McGlade, Becky, 1974-, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","In the bleak midwinter : for SATB a cappella","In the bleak midwinter","Boosey & Hawkes contemporary choral series","","England","London","Boosey & Hawkes","2016","","1 close score (3 pages), portraits, 26 cm","F.1147.aa. (7.)","Carols, English ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Music","English","Duration: approximately 4 min ; For unaccompanied mixed voices (SATB) ; Includes composer's and biographical notes ; Words also printed as text preceding score ; Words by Christina Rossetti",""
"782.5281723","018096838","Monograph","Notated music","Volume","","","","Hemingway, Roger","","person","composer","Hemingway, Roger, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Before the paling of the stars : carol for mixed voices and organ","","","","England","Matfield","Encore Publications","2013","","1 score (12 pages), 26 cm","F.1147.x. (25.)","Carols, English ; Choruses, Sacred (Mixed voices, 4 parts) with organ ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Chorus: SATB ; Words: Christina Rossetti",""
"782.5281723","018097279","Monograph","Notated music","Volume","","","","Gower, Christopher","1939-","person","composer","Gower, Christopher, 1939-, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Love came down at Christmas : carol for mixed voices and organ","","","","England","Matfield, Kent","Encore Publications","2015","","1 score (8 pages), 26 cm","F.1147.x. (21.)","Choruses, Sacred (Mixed voices, 5 parts) with organ ; Carols, English ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Music","English","Chorus: SSATB ; Words by Christina Rossetti",""
"782.5281723","018345892","Monograph","Notated music","Volume","","","9780193514386","Jackson, Gabriel","1962-","person","composer","Jackson, Gabriel, 1962-, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Christmas Eve","","Oxford carols","","England","Oxford","Oxford University Press","2017","","1 score (7 pages), 26 cm","E.1435.p. (9.) ; H06/.17857","Carols, English ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Music","English","Cover title ; Duration: 3 min ; For mixed voices (SATB with divisions), unaccompanied ; Includes piano reduction for rehearsal only ; Words by Christina Rossetti",""
"782.5281727","014651128","Monograph","Notated music","Volume","","","","Halsey, Louis","","person","","Halsey, Louis [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Spring bursts today : an Easter carol","","","","England","Matfield","Encore Publications","2008","","1 score (2 pages), 26 cm","F.1147.b. (4.)","Easter music ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Anthems","","English","Caption title ; For mixed voices (SATB), unacc",""
"782.542","013571997","Monograph","Notated music","Volume","","","","Byrchmore, Ruth","1966-","person","","Byrchmore, Ruth, 1966- [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","A birthday : for S solo, SSAATTBB","","","","England","London","Novello","2006","","1 score (19 pages), 25 cm","E.756.u. (17.)","Part songs, English ; Choruses, Secular (Mixed voices, 8 parts), Unaccompanied ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Words by Christina Rossetti",""
"782.542","013590965","Monograph","Notated music","Volume","","","","Ross, Graham","1985-","person","","Ross, Graham, 1985- [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Come to me in the silence of the night : for unaccompanied SSAATTBB choir","","","","England","London","Novello","2006","","1 score (9 pages), 25 cm","E.756.u. (34.)","Choruses, Secular (Mixed voices, 8 parts), Unaccompanied","","English","Includes piano reduction for rehearsal only ; Words by Christina Rossetti, also printed as text",""
"782.542","015642433","Monograph","Notated music","Volume","","","9780193372320","Chilcott, Bob","","person","","Chilcott, Bob [person] ; Burns, Robert, 1759-1796 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Like a singing bird (mixed voices)","My heart is like a singing bird ; O my love is like a red, red rose","Secular","","England","Oxford","Oxford University Press","2010","","1 score (15 pages), portraits, 26 cm","E.1908.hh. (9.)","Burns, Robert, 1759-1796--Musical settings ; Part songs, English ; Choruses, Secular (Mixed voices) with piano ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Song","English","For upper voices, mixed chorus (SATB) and piano ; Includes composer's note and biographical note ; May be performed with two dancers, each representing one of the two different melodies that feature in the song ; Words by Christina Rossetti and Robert Burns",""
"782.542","015688254","Monograph","Notated music","Volume","","","9780193372221","Hoffman, Stanley M.","1959-","person","","Hoffman, Stanley M., 1959- [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Remember","","Choral songs","X522 [Choral songs]","England","Oxford","Oxford University Press","2010","","1 score (7 pages), 27 cm","","Part songs, English ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","For mixed voices (SATB), unacc ; Words by Christina Rossetti",""
"782.542","017712834","Monograph","Notated music","Volume","","","","Baigent, Bertie","1995-","person","composer","Baigent, Bertie, 1995-, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","An echo from willow-wood : SATB unaccompanied","","Choral now","","England","London","Stainer & Bell","2015","","1 score (10 pages), 30 cm","G.31.uu. (14.)","Part songs, English ; Choruses, Secular (Mixed voices, 4 parts), Unaccompanied ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","For unaccompanied mixed voices (SATB chorus with ST soli) ; Includes piano reduction for rehearsal only ; Words by Christina Rossetti",""
"782.542","017792826","Monograph","Notated music","Volume","","","","Randle, Rhiannon","1993-","person","composer","Randle, Rhiannon, 1993-, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","On life's dividing sea : SATB unaccompanied (with divisions)","","Choral Now","","England","London","Stainer & Bell","2015","","1 score (9 pages), 30 cm","G.31.zz. (4.)","Choruses, Secular (Mixed voices, 4 parts) ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","","",""
"782.5528163293","005253626","Monograph","Notated music","Volume","","","","Edwards, Paul","1955-","person","","Edwards, Paul, 1955- [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Love came down at Christmas : carol for S. solo, SATB and organ","","","","England","London","Oecumuse","1984","","1 leaf, 30 cm","G.954. (7.)","Christmas carols for soprano solo and mixed voices with keyboard","","English","",""
"782.5528163293","005255240","Monograph","Notated music","Volume","","","","Hann, Sidney","","person","","Hann, Sidney [person] ; Barber, Graham [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Love came down at Christmas : S.A.T.B","Yuletide. arranged","Eboracum choral series","ECS 159 [Eboracum choral series]","England","York","Banks Music","1986","","1 score (2 pages), 26 cm","F.1874.x./159 ; mH00/7707","Christmas carols for mixed voices with keyboard","","English","With organ acc",""
"782.5542","005246586","Monograph","Notated music","Volume","","","","Gray, Alan","1855-1935","person","","Gray, Alan, 1855-1935 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","What are these that glow from afar : S.A.T.B","","Eboracum choral series","ECS 80 [Eboracum choral series]","England","York","Banks Music","1981","","1 score (12 pages), 26 cm","F.1874.x./80","Songs for mixed voices with piano","","English","Originally published by: Stainer & Bell Ltd ; With organ accompaniment",""
"782.555265","005254554","Monograph","Notated music","Volume","","","","Kelly, Bryan","","person","","Kelly, Bryan [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","O sweet Jesu : motet for SATB unaccompanied","","","","England","Croydon","Royal School of Church Music","1986","","1 score (8 pages), 26 cm","E.1869. (11.)","Anthems for unaccompanied mixed voices","","English","Publ. number A.417",""
"782.55527163293","005248696","Monograph","Notated music","Volume","","","","Pfautsch, Lloyd","1921-","person","","Pfautsch, Lloyd, 1921- [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Love came down at Christmas : for four-part chorus of mixed voices a cappella","","Lloyd Pfautsch choral series","","United States of America","New York","Lawson-Gould","1983","","1 score (6 pages), 27 cm","F.321.mm. (3.)","Christmas hymns for unaccompanied mixed voices","","English","plates number L.G.Co.52278",""
"782.55528163293","005253327","Monograph","Notated music","Volume","","","","Pfautsch, Lloyd","","person","","Pfautsch, Lloyd [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Love came down at Christmas : for four-part chorus of mixed voices a cappella","","","","England","Wendover","Roberton","1985","","1 score (4 pages), 26 cm","E.904.f. (3.)","Christmas carols for unaccompanied mixed voices","","English","A reissue of the edition originally published: [New York] : Lawson-Gould music Publishers, c1983 ; Publ. number 85231",""
"782.55528163293","005255443","Monograph","Notated music","Volume","","","","Galloway, George","1917-","person","","Galloway, George, 1917- [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","In the bleak midwinter","","","","England","London","Anglo-American Music","1984","","1 close score (3 pages), 26 cm","E.904. (17.)","Christmas carols for unaccompanied mixed voices","","English","For SATB chorus",""
"782.61588","016177909","Monograph","Notated music","Volume","","","9780193385344","Chilcott, Bob","","person","","Chilcott, Bob [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Remember me","","Oxford secular","","England","Oxford","Oxford University Press","2012","","1 score (8 pages), illustrations, 26 cm","E.756.rr. (2.)","Part songs, English ; Choruses, Secular (Women's voices, 3 parts) with piano ; Choruses, Secular (Children's voices) with piano ; Memorial music ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","For upper voices (SSA) and piano ; Includes composer's note and illustrations of sign language ; Includes some sign language ; Words by Christina Rossetti",""
"782.625","018672456","Monograph","Notated music","Volume","","","","Randle, Rhiannon","1993-","person","composer","Randle, Rhiannon, 1993-, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Like a singing bird : SSAA unaccompanied (with solos)","","Choral now","CN23P [Choral now]","England","London","Stainer & Bell","2017","","1 score (7 pages), 30 cm","G.1505.m. (3.)","Choruses, Secular (Women's voices, 4 parts), Unaccompanied ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Commissioned by BBC Radio 3 for International Women's Day 2015 ; Cover title ; Includes piano reduction for rehearsal only ; Includes programme notes ; Words by Christina Rossetti",""
"782.625","018788864","Monograph","Notated music","Volume","","","","Lamb McCune, Sally","1966-","person","composer","Bianco, da Siena, active 1367 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Lamb McCune, Sally, 1966-, composer [person]","Discendi, amor santo : SSAA a cappella","","CME in high voice ; Doreen Rao's choral music experience","","United States of America","New York","Boosey & Hawkes","2016","","1 score (8 pages), 27 cm","F.1147.hh. (10.)","Bianco, da Siena, active 1367--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Sacred music ; Song","English ; Latin","Cover title ; Duration: approximately 3 min ; For unaccompanied chorus of women's voices (SSAA) ; Text by Bianco da Siena and Christina Rossetti",""
"782.6281722","013472165","Monograph","Notated music","Volume","","","9780193868762","Voth, Ellen Gilson","1972-","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Voth, Ellen Gilson, 1972- [person]","An Advent carol : for upper voices (SSA) and keyboard","This Advent moon shines cold and clear","Oxford Advent music","","United States of America","New York","Oxford University Press","2005","","1 score (7 pages), 27 cm","F.638.ii. (21.)","Carols, English ; Choruses, Sacred (Women's voices, 3 parts) with keyboard instrument ; Advent music ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","First line: This Advent moon shines cold and clear ; Includes biographical note ; Words by Christina Rossetti",""
