"BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"000259916","Monograph","Language material ; Text","Volume","","","","Bell, Henry Thomas Mackenzie","","person","","Bell, Henry Thomas Mackenzie [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Anderson, John Parker, 1841-1925 [person]","Christina Rossetti: a biographical and critical study, etc. (Bibliography by J. P. Anderson.)","Appendix","","","England","London","Hurst & Blackett","1898","","xvi, 364 pages (8°)","","10856.f.15","","","","",""
"000260610","Monograph","Language material ; Text","Volume","","","","Bell, Maurice Frederick","","person","","Bell, Maurice Frederick [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Goblin Market, dramatized from Christina Rossetti's poem","","Plays for Villages","","","Lifton","","1923","","15 pages (8°)","","W.P.7310/6","","","","",""
"000317243","Monograph","Language material ; Text","Volume","","","","","","","","Rossetti, Christina Georgina, 1830-1894 [person]","Called to be Saints: the minor festivals devotionally studied, by Christina G. Rossetti [Extracts from the Bible, with 'biographical additions,' etc.]","Bible.Selections. English","","","England","London","S.P.C.K","1881","","xix, 519 pages (8°)","","4823.cc.5","","","English","",""
"000341016","Monograph","Language material ; Text","Volume","","","","","","","","Rossetti, Christina Georgina, 1830-1894 [person]","The Face of the Deep: a devotional commentary on the Apocalypse. By Christina G. Rossetti [With the text.]","Bible.Revelation. English","","","England","London","S.P.C.K","1892","","552 pages (8°)","","03187.k.12","","","English","",""
"000341018","Monograph","Language material ; Text","Volume","","","","","","","","Rossetti, Christina Georgina, 1830-1894 [person]","The face of the deep: a devotional commentary on the Apocalypse. By Christina G. Rossetti ... Second edition, etc","Bible.Revelation. English","","","England ; United States of America","Brighton ; London ; New York","E. & J. B. Young ; Society for Promoting Christian Knowledge","1893","","552 pages, 22 cm","","1560/1051","","","English","With the text. Earlier edition 1892",""
"000341023","Monograph","Language material ; Text","Volume","","","","","","","","Rossetti, Christina Georgina, 1830-1894 [person]","The Face of the Deep: a devotional commentary on the Apocalypse. By the late Christina G. Rossetti [With the text.] Third edition","Bible.Revelation. English","","","England","London","Society for Promoting Christian Knowledge","1895","","552 pages (8°)","","3188.b.27","","","English","Previous edition 1893",""
"000357166","Monograph","Language material ; Text","Volume","","","","Birkhead, Edith","","person","","Birkhead, Edith [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Christina Rossetti & her Poetry [With a portrait.]","Appendix","Poetry & Life Series","number 36 [Poetry & Life Series]","England","London","G. G. Harrap","1930","","126 pages (8°)","","11863.a.11/36","","","","",""
"000555875","Monograph","Language material ; Text","Volume","","","","Buys, R. van Brakell","","person","","Buys, R. van Brakell [person]","Drie dichteressen uit het Victoriaanse tijdperk : Christina Rossetti, Emily Brontë, Elizabeth Barrett Browning","","Hoogtepunten der Engelse cultuur","number 3 [Hoogtepunten der Engelse cultuur]","","Amsterdam","","1947","","352 pages, portraits (8°)","","011840.m.67","Brontë, Emily, 1818-1848 ; Browning, Elizabeth Barrett, 1806-1861 ; Rossetti, Christina Georgina, 1830-1894","","Dutch","",""
"000622816","Monograph","Language material ; Text","Volume","","","","Cary, Elisabeth Luther","","person","","Cary, Elisabeth Luther [person] ; Rossetti, Dante Gabriel, 1828-1882 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","The Rossettis, Dante, Gabriel and Christina ... Illustrated","Appendix","","","England ; United States of America","London ; New York","G. P. Putnam's","1907","","xi, 310 pages (8°)","","10826.h.18","","","English","",""
"000992625","Monograph","Language material ; Text","Volume","","","","Dubslaff, Friedrich","","person","","Dubslaff, Friedrich [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Die Sprachform der Lyrik Christina Rossettis","Appendix","Studien zur Englischen Philologie","Heft 77 [Studien zur Englischen Philologie]","","Halle, Saale","","1933","","vi, 94 pages (8°)","","12981.f.77","","","German","",""
"001206054","Monograph","Language material ; Text","Volume","","","","Faure, afterwards Goyau, Lucie Félix","","person","","Guérin, Eugénie de [person] ; Faure, afterwards Goyau, Lucie Félix [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Vers la Joie. Ames païennes. Ames chrétiennes. Les tristesses de l'âme païenne.-Christina Rossetti.-Eugénie de Guérin.-Sainte Catherine de Sienne","Appendix","","","","Paris","","1906","","xlvii, 279 pages (8°)","","012355.f.18","","","French","",""
"001611763","Monograph","Language material ; Text","Volume","","","","Battiscombe, Georgina","","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Battiscombe, Georgina [person]","Christina Rossetti [With a portrait.]","Appendix","Writers and their work","number 189 [Writers and their work]","England","London","British Council ; Longmans Green ; National Book League","1965","","39 pages (8°)","","W.P.9502/189","","","","",""
"001703130","Monograph","Language material ; Text","Volume","","","","Hoennighausen, Gisela","","person","","Hoennighausen, Gisela [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Christina Rossetti als viktorianische Dichterin","Appendix","","","","","Bonn","1969","","vii, 332 pages a 31, illustrations bibliography pages a 20-a 31, 21 cm","","X.900/19759","","","German","",""
"002745231","Monograph","Language material ; Text","Volume","","","","Packer, Lona Mosk","","person","","Packer, Lona Mosk [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Christina Rossetti [With plates, including portraits.]","Appendix","","","United States of America","Berkeley ; Cambridge ; Los Angeles","Cambridge University Press ; University of California Press","1963","","xx, 459 pages (8°)","","W26/6257 ; X.900/242","","","","",""
"003114239","Monograph","Language material ; Text","Volume","","","","Robb, Nesca Adeline","","person","","Robb, Nesca Adeline [person] ; Andersen, H. C. (Hans Christian), 1805-1875 [person] ; Housman, A. E. (Alfred Edward), 1859-1936 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Leopardi, Giacomo, 1798-1837 [person]","Four in Exile. (A. E. Housman, Leopardi, Christina Rossetti, Hans Andersen.)","Appendix","","","England","London","Hutchinson","1948","","158 pages (8°)","","11823.pp.39","","","","",""
"003165312","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Poems. (Goblin Market, etc.-Devotional Pieces.-The Prince's Progress, etc.)","Collections","","","","Boston","Roberts","1866","","x, 256 pages (8°)","","11351.a.16","","","","With two additional titlepages, engraved, bearing the words 'Goblin Market and other poems' and 'The Prince's Progress and other poems.'",""
"003165313","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Poems","Collections","","","","Boston ; Cambridge ; Massachusetts","208. Roberts Brothers","1882","","x 300 pages (8°)","","11609.dd.18","","","","",""
"003165314","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Palgrave, Francis Turner, 1824-1897 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Poems ... New and enlarged edition","Books Containing MS. Notes by Palgrave ; Collections","","","England","London","Macmillan","1890","","xiv 450 pages (8°)","","11612.c.15 ; 11651.bbb.57","","","","",""
"003165315","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Poems ... New and enlarged edition","Collections","","","England","London","","1895","","","","YA.1997.a.3093","","","","",""
"003165316","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Poems ... Enlarged edition","Collections","","","England","London","Macmillan","1891","","xiv 450 pages (8°)","","11612.df.5","","","","",""
"003165317","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, William Michael [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","New Poems ... hitherto unpublished or uncollected. Edited by W. M. Rossetti","Collections","","","England","London","Macmillan","1896","","xxiv, 397 pages (8°)","","11647.dd.27","","","","",""
"003165318","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, William Michael [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","The Poetical Works of Christina Georgina Rossetti. With memoir and notes, &c, by W. M. Rossetti","Collections","","","England","London","Macmillan","1904","","lxxiii, 507 pages (8°)","","2290.d.13","","","English","",""
"003165319","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, William Michael [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Poems ... Chosen and edited by W. M. Rossetti","Collections","","","England","London","Macmillan","1904","","xxvi 332 pages (8°)","","11611.b.37","","","","part of the 'Golden Treasury series'",""
"003165320","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Harrison, Florence [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Meynell, Alice, 1847-1922 [person]","Poems ... With illustrations by Florence Harrison. Introduction by Alice Meynell. L.P","Collections","","","England","London","Blackie","1910","","xxiv, 369 pages (4°)","","K.T.C.11.b.11","","","","",""
"003165321","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, William Michael [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","The Family Letters of Christina Georgina Rossetti, with some supplementary letters and appendices. Edited by William Michael Rossetti [With illustrations.]","Letters","","","England","London","Brown, Langham","1908","","xxii, 242 pages (8°)","","010920.l.20","","","English","",""
"003165322","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Gathorne-Hardy, Robert, 1902-1973 [person]","Familiar correspondence newly translated from the Italian of Christina G. Rossetti [Translated by Robert Gathorne-Hardy.]","Letters","","","","Stanford Dingley","Mill House Press","1962","","17 pages, 22 cm","","Cup.510.ap.22","","","","One of an edition of sixty-seven copies",""
"003165323","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Letters","","","","","","","","","","","010609.b.2","","","","",""
"003165324","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Angels. (Christ our All in All. Church Seasons in Verse.)","","","","England","London","S.P.C.K","1910","","3 parts, 32þ","","11648.de.34","","","","",""
"003165325","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Burrows, Henry William, Canon of Rochester [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Annus Domini; a prayer for each day of the year, founded on a text of Holy Scripture [Edited by H. W. Burrows.]","","","","England","London ; Oxford","","1874","","(32°)","","3457.a.59","","","","",""
"003165326","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Commonplace, and other short stories, etc","","","","England","London","","1870","","","","12621.aaa.15","","","","",""
"003165327","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Consider the Lilies of the Field, and other poems","","","","","","","1911","","149 pages","","3623.b.1/20","","","","",""
"003165328","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Dante Gabriel, 1828-1882 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Goblin Market and other poems. ... With two designs by D. G. Rossetti","Works edited, translated or with contributions by Rossetti","","","England","Cambridge, London","","1862","","","","Cup.401.b.14","","","","",""
"003165329","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Dante Gabriel, 1828-1882 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Goblin Market ... With two designs by D. G. Rossetti. Second edition","Works edited, translated or with contributions by Rossetti","","","England","Cambridge ; London","Macmillan","1865","","vii, 192 pages (8°)","","11660.aa.16","","","","With an additional titlepage",""
"003165330","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Goblin Market, The Prince's Progress, and other poems. With four designs by D. G. Rossetti. New edition","","","","England","London, Edinburgh","Macmillan","1875","","xi, 287 pages (8°)","","11647.ff.28 ; C.28.c.11","","","","",""
"003165331","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Dante Gabriel, 1828-1882 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Goblin Market, The prince's progress and other poems ... With four designs by D. G. Rossetti. New edition","Works edited, translated or with contributions by Rossetti","","","England","London","Macmillan","1879","","xi, 287 pages, plates, 18 cm","","1607/4215","","","","",""
"003165332","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Housman, Laurence, 1865-1959 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Goblin Market ... Illustrated by L. Housman. L.P","Works translated or with prefaces or other contributions by this Author","","","England","London","Macmillan","1893","","63 pages (8°)","","11647.f.33","","","English","",""
"003165333","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Goblin Market ... Illustrated by D. C. Calthrop","","","","England ; Scotland","Edinburgh ; London","T. C. & E. C. Jack","1906","","31 pages (8°)","","11646.de.51","","","","",""
"003165334","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Goblin Market, and other poems","","Gowans's International Library","number 7 [Gowans's International Library]","England ; Scotland","Glasgow ; London","","1907","","xi, 99 pages (16°)","","012201.de.8/7","","","","",""
"003165335","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Goblin Market, and other poems ... Illustrated in colour by Alice Ross","","","","Scotland","Edinburgh","W. P. Nimmo, Hay & Mitchell","1910","","31 pages (16°)","","11646.de.67","","","","",""
"003165336","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Goblin Market. (Selected Poems.)","","","","","","","1911","","2 parts","","944.b.94","","","","",""
"003165337","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Goblin Market [With illustrations.]","","","","England","London","George Routledge","1912","","ff 45 (16°)","","011651.h.94","","","","",""
"003165338","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Fry, Edith Bessie [person]","Goblin Market. Edited by Edith Fry","","","","","","","1912","","32 pages","","012200.e.3/70","","","","",""
"003165339","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Goblin Market, The Prince's Progress, and other poems","","","","","","","1913","","xi, 297 pages","","012209.df.109","","","","",""
"003165340","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Goblin Market, and other poems ... Illustrated by Florence Harrison","","'Beautiful Poems' Series","","England","London","","1923","","79 pages (8°)","","11654.c.2/3","","","","",""
"003165341","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Thompson, Sheila [person]","Goblin Market. (Drawings by Sheila Thompson.)","","","","","Middleton, Sussex","Silver Unicorn Press","1931","","25 pages (8°)","","Cup.510.adb.1","","","","No 56 of an edition of 100 copies",""
"003165342","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rackham, Arthur, 1867-1939 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Goblin Market ... Illustrated by Arthur Rackham","","","","England","London","G. G. Harrap","1933","","42 pages (8°)","","11643.cc.64","","","","",""
"003165343","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Pietrobono, Tommaso [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Il Mercato de Folletti (Goblin Market) ; poema ... tradotto in Italiano di T. P. Rossetti","","","","","Firenze","","1867","","","","11648.cc.42. (3.)","","","Italian","",""
"003165344","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Davies, Aneirin Talfan, called Aneirin ap Talfan [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","[Goblin Market.] Marchnad y Corachod. Troswyd i'r Gymraeg gan Aneirin Talfan Davies. Darluniau gan Mary Harvey","","","","Wales","Aberystwyth","Gwasg Aberystwyth","1947","","33 pages (8°)","","11657.ff.9","","","Welsh","",""
"003165345","Monograph","Language material ; Text","Volume","","","9780333122617","Rossetti, Christina Georgina","1830-1894","person","","Raskin, Ellen [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Goblin Market. Illustrated and adapted by Ellen Raskin","","","","England","Basingstoke ; London","Macmillan","1971","","30 pages, 18 × 22 cm","","X.998/2435","","","","Printed in U.S.A",""
"003165346","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Letter and Spirit. Notes on the Commandments","","","","England","London","Christian Knowledge Society","1883","","206 pages (8°)","","4401.k.23","","","","",""
"003165347","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, William Michael [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Maude: a story for girls ... With an introduction by W. M. Rossetti","","","","England","London","J. Bowden","1897","","xi 81 pages (8°)","","012624.de.5","","","","",""
"003165348","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Helmer, Levine [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","The Months: a pageant ... Pictured by Levine Helmer","","","","England","London","George Philip","1904","","(folio)","","N.Tab2021/29","","","English","",""
"003165349","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Donlevy, Alice [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Outlines for illuminating. Consider. A poem, by C. G. Rossetti. (Designed by A. Donlevy.)","","","","United States of America","New York","","1866","","(oblong 4°)","","11687.e.16","","","","",""
"003165350","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","A Pageant, and other poems","","","","England ; Scotland","Edinburgh ; London","Macmillan","1881","","ix 198 pages (8°)","","11646.d.67","","","","",""
"003165351","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","A Poet's Prayers","","","","","","","1911","","67 pages","","012213.a.1/1","","","","",""
"003165352","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Dante Gabriel, 1828-1882 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","The Prince's Progress and other poems","Works edited, translated or with contributions by Rossetti","","","England","London","Macmillan ; R. Clay ; Taylor","1866","","viii, 216 pages, 2 leaves of plates, 18 cm (8°)","","11650.aaa.7 ; C.188.a.416","English poetry--19th century","","English","Printer's name from colophon ; With a half-title, frontispiece and additional titlepage, engraved",""
"003165353","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Sandheim, May [person]","The Prince's Progress, and other poems ... Illustrated by May Sandheim","","","","England","London","Andrew Melrose","1908","","vii, 146 pages (8°)","","011650.e.2","","","English","",""
"003165354","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Redeeming the Time: daily musings for Lent compiled from the works of C. G. Rossetti","","","","England","London","Christian Knowledge Society","1903","","95 pages (8°)","","04429.cc.8","","","","",""
"003165355","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","A Royal Princess, and other poems","","","","","","","1906","","32 pages","","944.bb.3","","","","",""
"003165356","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Seek and Find. A double series of short studies of the Benedicite","","","","England","London ; Oxford","Christian Knowledge Society","1879","","327 pages (8°)","","4420.cc.25","","","","",""
"003165357","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Hughes, Arthur, 1832-1915 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Sing-Song. A nursery rhyme book. ... With ... illustrations by A. Hughes, etc","","","","England","London","","1872","","","","11651.e.7","","","","Other edition: Sing-Song. A nursery rhyme book. ... With ... illustrations by A. Hughes, etc. pp. xiv. 135. Macmillan & Co.: London, 1893. 8º",""
"003165358","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Sing-Song. A nursery rhyme book. ... With ... illustrations by A. Hughes, etc","","","","England","London","Macmillan","1893","Another edition","xiv, 135 pages (8°)","","011652.g.16","","","English","",""
"003165359","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Hughes, Arthur, 1832-1915 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Speaking Likenesses ... With pictures thereof by A. Hughes","","","","England","London","","1874","","","","12803.g.34","","","","",""
"003165360","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Time flies : a reading diary","","","","England","London ; Oxford","Christian Knowledge Society","1885","","280 pages (8°)","","12357.bb.36 ; C.194.a.538","Devotional exercises ; Calendars","","English","",""
"003165361","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Time Flies, etc","","","","England","London","Christian Knowledge Society","1897","","280 pages (8°)","","4429.bbb.31","","","","",""
"003165362","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Time flies. A reading diary ... Seventh thousand","","","","England ; United States of America","Brighton ; London ; New York","E. & J. B. Young ; Society for Promoting Christian Knowledge","1902","","280 pages, 20 cm","","X.208/2132","","","","",""
"003165363","Monograph","Language material ; Text","Sheet","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","To my Mother on the Anniversary of her birth. April 27, 1842 [Christina Rossetti's first verses.]","","","","England","London","G. Polidori's","1842","","1 sheet (8°)","","C.39.e.64. (2.)","","","","",""
"003165364","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Polidori, Gaetano [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Verses. By C. G. Rossetti. Dedicated to her mother [With an introductory note by G. Polidori.]","","","","England","London","G. Polidori's","1847","","66 pages (8°)","","C.39.e.64. (1.)","","","","",""
"003165365","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Pissarro, Lucien, 1863-1944 [person] ; Symon, James D. (James David), 1867-1925 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Verses ... reprinted from G. Polidori's edition of 1847. Edited by J. D. Symon. (The decorations by Lucien Pissarro.)","","","","England","London","Eragny Press","1906","","volumes, 75 pages (8°)","","C.99.e.19","","","","",""
"003165366","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Verses [Chiefly collected from her devotional writings.]","","","","England","London","Christian Knowledge Society","1893","","236 pages (8°)","","4429.c.3","","","","",""
"003165367","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Verses, etc","","","","England","London","","1898","","","","03440.dh.63","","","","",""
"003165368","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Verses","","","","England","London","S.P.C.K","1925","","236 pages (8°)","","011644.de.41","","","","",""
"003165369","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Christ Our All in All. (Reissued from 'Verses' ... 1893.)","","","","England","London","S.P.C.K","1932","","31 pages (8°)","","11632.ccc.4","","","","",""
"003165370","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Selections, edited by A. Symons","Works. Selections","","","","","","1892","","","","11603.cc.20/7","","","","",""
"003165371","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, afterwards Agresti, Olivia [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","The Rossetti Birthday Book. Edited by O. Rossetti","Works. Selections","","","England","London","Macmillan","1896","","278 pages (16°)","","11607.aa.30","","","English","",""
"003165372","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Jay, W. M. L., Mrs, pseudonym [i.e. Julia L. M. Woodruff] [person]","Reflected Lights from 'The Face of the Deep' [and other works, prose and verse] ... Selected and arranged by W. M. L. Jay [With illustrations.]","Works. Selections","","","England","London","S.P.C.K","1900","","vii 251 pages (8°)","","12274.bb.11","","","","",""
"003165373","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Selections","Works. Selections","","","","","","","","","","11603.dd.12","","","","",""
"003165374","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Smellie, Alexander, m.a [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Sandheim, May [person]","Selected poems ... With introduction by Alexander Smellie. (Illustrations ... by May Sandheim.)","Works. Selections","","","England","London","Andrew Melrose","1907","","xxix, 121 pages, plates, 19 cm","","X.989/17713","","","","",""
"003165375","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Gifts and Graces. Thoughts from the writings of Christina Rossetti","Works. Selections","","","","","","1911","","63 pages","","012213.a.1/2","","","","",""
"003165376","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Burke, Charles Bell [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Selected Poems ... Edited with introduction and notes by Charles Bell Burke","Works. Selections","Macmillan's Pocket American & English Classics","","United States of America","New York","Macmillan","1913","","lxiv, 326 pages (8°)","","12199.a.1/102","","","","",""
"003165377","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","The Children's Rossetti ... Illustrated","Works. Selections","","","England","London","Macmillan","1914","","3 parts (8°)","","11611.de.23","","","English","",""
"003165378","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Maclean, Frances [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","For Remembrance. Daily selections from the poems of Christina Rossetti. Compiled by Frances Maclean, with a preface by Lisa Wilson","Works. Selections","","","England","Winchester","Warren","1915","","92 pages (8°)","","011649.h.12","","","English","",""
