"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"'Goblin market' and selected poems","","015977722","Monograph","Language material ; Text","Volume","GBB271576","","","Rossetti, Christina Georgina","1830-1894","person","","Tamaki, Jillian, 1980- [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Folio Society (London, England) [organisation]","","","England","London","Folio Society","2011","","xix, 130 pages, 10 leaves of plates, colour illustrations, 27 cm","821.8","YK.2012.b.7834","","","English","In slipcase ; Includes index",""
"'It once should save as well as kill': DG Rossetti and the Feminine","A Sort of Aesthetico-Catholic Revival: Christina Rossetti and the London Ritualist Scene ; Christina's Challenge to Victorian Mentality: the Parodic, Unconventional Pattern of 'My Dream' ; Copyright and Control: Christina Rossetti and her Publishers ; DG Rossetti and the Art of the Inner Standing-Point ; In the Footsteps of His Father? Dantean Allegory in Gabriele Rossetti and Dante Gabriel Rossetti ; Introduction ; Maundering Medievalism: Dante Gabriel Rossetti and William Morris's Poetry ; Mystic, Madwoman or Metaphysician?: The Analogical Theodicy of Christina Rossetti ; Outsiders looking in : the Rossettis then and now ; Pews, Periodicals and Politics: The Rossetti Women as High Church Controversialists ; Pursuing the Well-Beloved: Thomas Hardy, Jocelyn Pearston and the School of Rossetti ; Recollections of PB Shelley: William Michael Rossetti, Political Commitment and Literary Capital ; Sibling Cultures ; The Aesthetics of Morbidity: DG Rossetti and Buchanan's The Fleshly School of Poetry ; The Taxman and the Aesthete: the Canon according to William Michael Rossetti ; William Michael and Lucy Rossetti: Outsider Insiders -- The True Cosmopolitans","017990183","Monograph","Language material ; Text","Online resource","GBB702288","","9780857287496 ; 9781843313380","","","","","Clifford, David [person] ; Roussillon, Laurence [person]","Anthem nineteenth century studies","","England","London","Anthem","2004","","1 online resource (xiv, 284 pages), illustrations","700.922","ELD.DS.83792","Poets, English--19th century--Biography ; Cultuurgeschiedenis ; Rossetti, William Michael, 1829-1919 ; Rossetti, Lucy Madox Brown, 1843-1894 ; Rossetti, Christina Georgina, 1830-1894 ; BIOGRAPHY & AUTOBIOGRAPHY--Artists, Architects, Photographers ; Great Britain--Intellectual life--19th century ; Arts, English--19th century ; English literature ; Italians--Great Britain--History--19th century ; Rossetti, Dante Gabriel, 1828-1882 ; Victoriaanse tijd ; Critics ; Critics--Great Britain--Biography ; Painters ; Rossetti family ; Painters--Great Britain--Biography ; English literature--19th century--History and criticism","Biography ; Criticsm and interpretation ; History","English","",""
"10 Songs, for low voice [& piano]","","014957421","Monograph","Notated music","Volume","","","","Wood, Charles","1866-1926","person","","Wood, Charles, 1866-1926 [person] ; O'Neill, M. [person] ; Whitman, Walt, 1819-1892 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","","","Boosey","1927","","","780","H02/0792","","","","",""
"3 carols for Christmas","Carols for Christmas ; Cherubic pilgrim ; In the bleak mid-winter ; Love came down at Christmas ; Three carols for Christmas : for unaccompanied mixed choir (SATB)","013177887","Monograph","Notated music","Volume","","","9780193867697","","","","","Angelus Silesius, 1624-1677 [person] ; Lockwood, Robert (Robert M.) [person] ; Bacon, Ernst, 1898-1990 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Oxford Christmas music","","United States of America","New York","Oxford University Press","2004","","1 score (7 pages), 27 cm","782.5281723","F.638.y. (2.)","Angelus Silesius, 1624-1677--Musical settings ; Carols, English ; Christmas music ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Words by Christina Rossetti (1st and 3rd works) and Angelus Silesius (2nd work)",""
"3 carols","Carols. Selections ; Christmas Carmen ; Cradle hymn ; Love came down at Christmas ; Three carols","012201186","Monograph","Notated music","Volume","","","","Darke, Harold","1888-1976","person","","Darke, Harold, 1888-1976 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Whittier, John Greenleaf, 1807-1892 [person]","","","England","London","Stainer & Bell","2002","","1 score (8 pages), 26 cm","782.5281723","E.756.g. (1.)","Carols, English ; Whittier, John Greenleaf, 1807-1892--Musical settings ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Sacred songs (Medium voice) with piano ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","1st and 3rd works for mixed chorus (SATB) unacc.; 2nd work for solo or unison voices and piano ; Words by Christina Rossetti (1st work) and John Greenleaf Whittier (3rd work)",""
"4 songs on nineteenth century texts","Four songs on nineteenth century texts : for tenor and piano : 2016 ; Songs on nineteenth century texts","018547529","Monograph","Notated music","Volume","","","","Pott, Francis","1957-","person","composer","Pott, Francis, 1957-, composer [person] ; Clare, John, 1793-1864 [person] ; Rossetti, Dante Gabriel, 1828-1882 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Beddoes, Thomas Lovell, 1803-1849 [person]","","","England","Chipping Norton","Composers","2016","","1 score (34 pages), 30 cm","783.8742","G.1586. (14.)","Rossetti, Christina Georgina, 1830-1894--Musical settings ; Songs (High voice) with piano ; Beddoes, Thomas Lovell, 1803-1849--Musical settings ; Clare, John, 1793-1864--Musical settings ; Rossetti, Dante Gabriel, 1828-1882--Musical settings","Song","English","Cover title ; Includes composer's note",""
"6 English lyrics, for low voice and string orchestra. Min. score","","015053370","Monograph","Notated music","Volume","","","","Williamson, Malcolm","1931-2003","person","","Hunt, Leigh, 1784-1859 [person] ; Williamson, Malcolm, 1931-2003 [person] ; Waller, Edmund, 1606-1687 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Tennyson, Alfred Tennyson, Baron, 1809-1892 [person]","","","","","Weinberger","1969","","miniature score","780","mH00/2301","","","","",""
"A Pageant, and other poems","","003165350","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England ; Scotland","Edinburgh ; London","Macmillan","1881","","ix 198 pages (8°)","","11646.d.67","","","","",""
"A Poet's Prayers","","003165351","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","","","","1911","","67 pages","","012213.a.1/1","","","","",""
"A Rossetti family chronology","","013547200","Monograph","Language material ; Text","Volume","GBA676456","","9781403912190","Chapman, Alison","1970-","person","","Meacock, Joanna, 1975- [person] ; Chapman, Alison, 1970- [person]","Author chronologies","","England","Basingstoke","Palgrave Macmillan","2007","","xxvi, 484 pages, 22 cm","821.8","YC.2012.a.4982 ; m07/.26977","Authors, English--19th century--Chronology ; Rossetti family--Chronology ; Rossetti, Dante Gabriel, 1828-1882--Chronology ; Rossetti, Christina Georgina, 1830-1894--Chronology ; Rossetti, Maria Francesca, 1827-1876--Chronology ; Poets, English--19th century--Chronology ; Rossetti, William Michael, 1829-1919--Chronology ; Rossetti, Gabriele, 1783-1854--Chronology ; London (England)--Intellectual life--19th century","Chronology","English","",""
"A Royal Princess, and other poems","","003165355","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","","","","1906","","32 pages","","944.bb.3","","","","",""
"A Sort of Aesthetico-Catholic Revival: Christina Rossetti and the London Ritualist Scene","'It once should save as well as kill': DG Rossetti and the Feminine ; Christina's Challenge to Victorian Mentality: the Parodic, Unconventional Pattern of 'My Dream' ; Copyright and Control: Christina Rossetti and her Publishers ; DG Rossetti and the Art of the Inner Standing-Point ; In the Footsteps of His Father? Dantean Allegory in Gabriele Rossetti and Dante Gabriel Rossetti ; Introduction ; Maundering Medievalism: Dante Gabriel Rossetti and William Morris's Poetry ; Mystic, Madwoman or Metaphysician?: The Analogical Theodicy of Christina Rossetti ; Outsiders looking in : the Rossettis then and now ; Pews, Periodicals and Politics: The Rossetti Women as High Church Controversialists ; Pursuing the Well-Beloved: Thomas Hardy, Jocelyn Pearston and the School of Rossetti ; Recollections of PB Shelley: William Michael Rossetti, Political Commitment and Literary Capital ; Sibling Cultures ; The Aesthetics of Morbidity: DG Rossetti and Buchanan's The Fleshly School of Poetry ; The Taxman and the Aesthete: the Canon according to William Michael Rossetti ; William Michael and Lucy Rossetti: Outsider Insiders -- The True Cosmopolitans","017990183","Monograph","Language material ; Text","Online resource","GBB702288","","9780857287496 ; 9781843313380","","","","","Clifford, David [person] ; Roussillon, Laurence [person]","Anthem nineteenth century studies","","England","London","Anthem","2004","","1 online resource (xiv, 284 pages), illustrations","700.922","ELD.DS.83792","Poets, English--19th century--Biography ; Cultuurgeschiedenis ; Rossetti, William Michael, 1829-1919 ; Rossetti, Lucy Madox Brown, 1843-1894 ; Rossetti, Christina Georgina, 1830-1894 ; BIOGRAPHY & AUTOBIOGRAPHY--Artists, Architects, Photographers ; Great Britain--Intellectual life--19th century ; Arts, English--19th century ; English literature ; Italians--Great Britain--History--19th century ; Rossetti, Dante Gabriel, 1828-1882 ; Victoriaanse tijd ; Critics ; Critics--Great Britain--Biography ; Painters ; Rossetti family ; Painters--Great Britain--Biography ; English literature--19th century--History and criticism","Biography ; Criticsm and interpretation ; History","English","",""
"A better resurrection : for SATB a cappella","I have no wit, no words, no tears","016177881","Monograph","Notated music","Volume","","","","Helvey, Howard","","person","composer","Helvey, Howard, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","A cathedral series","","United States of America","Milwaukee, Wisconsin ; New York","Boosey & Hawkes ; Hal Leonard","2012","","1 score (7 pages), 27 cm","782.525","F.1329.jj. (7.)","Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Duration: approximately 4 min. 40 sec ; Includes program and biographical notes ; Title from caption ; Words also printed as text preceding score",""
"A birthday : for S solo, SSAATTBB","","013571997","Monograph","Notated music","Volume","","","","Byrchmore, Ruth","1966-","person","","Byrchmore, Ruth, 1966- [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Novello","2006","","1 score (19 pages), 25 cm","782.542","E.756.u. (17.)","Part songs, English ; Choruses, Secular (Mixed voices, 8 parts), Unaccompanied ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Words by Christina Rossetti",""
"A century of English song : an anthology of 20th-century songs compiled and published by The Association of English Singers and Speakers. Volume 8 for medium/low female voice and piano","Country-lover ; Dolls ; Heffle cuckoo fair ; Idlers ; Miscellanie ; Othello ; Songs ; Songs (1935) ; Songs of Walter de la Mare ; Songs of the East ; Why do I love? ; Wind from the South","018168059","Monograph","Notated music","Volume","","","","","","","","Quilter, Roger, 1877-1953 [person] ; Bridges, Robert, 1844-1930 [person] ; Gurney, Ivor, 1890-1937 [person] ; Milford, Robin, 1903-1959 [person] ; Association of English Singers and Speakers [organisation] ; Corp, Ronald [person] ; Shaw, Martin, 1875-1958 [person] ; Bantock, Granville, Sir, 1868-1946 [person] ; Peel, Graham, 1878-1937 [person] ; Shakespeare, William, 1564-1616 [person] ; Kipling, Rudyard, 1865-1936 [person] ; Bantock, Helen F. (Helen Francesca), 1868-1961 [person] ; Somervell, Arthur, 1863-1937 [person] ; Scott, Cyril, 1879-1970 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Blunden, Edmund, 1896-1974 [person] ; Belloc, Hilaire, 1870-1953 [person] ; Blake, William, 1757-1827 [person] ; Irvine, John, 1903-1964 [person] ; Prokosch, Frederic, 1908-1989 [person] ; Humphreys, Garry, writer [person] ; Arnold, Matthew, 1822-1888 [person] ; Hugh-Jones, Elaine, 1927- [person] ; Gibbs, C. Armstrong [person] ; Coleridge-Taylor, Samuel, 1875-1912 [person] ; De la Mare, Walter, 1873-1956 [person] ; Cooke, Deryck [person] ; Ephelia, active 1679 [person]","","","England","Tewkesbury","Association of English Singers & Speakers ; Goodmusic","2016","","1 score (56 pages), 30 cm","783.442","F.1946.b./8 ; H06/.17213","Blunden, Edmund, 1896-1974--Musical settings ; Song cycles--Excerpts ; Songs (Medium voice) with piano ; Bantock, Helen F. (Helen Francesca), 1868-1961--Musical settings ; Ephelia, active 1679--Musical settings ; Shakespeare, William, 1564-1616--Musical settings ; Arnold, Matthew, 1822-1888--Musical settings ; Irvine, John, 1903-1964--Musical settings ; De la Mare, Walter, 1873-1956--Musical settings ; Prokosch, Frederic, 1908-1989--Musical settings ; Songs (Low voice) with piano ; Kipling, Rudyard, 1865-1936--Musical settings ; Blake, William, 1757-1827--Musical settings ; Bridges, Robert, 1844-1930--Musical settings ; Belloc, Hilaire, 1870-1953--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Excerpt","English","Includes notes on the composers by Garry Humphreys ; Subtitle on cover: An anthology for singers",""
"A century of English song : an anthology of 20th-century songs compiled and published by The Association of English Singers and Speakers. Volume 9 for high voice and piano","Be music, night ; High flight ; In the garden ; Love ; Scholar's lament ; Songs (1909) ; Songs of Ben Jonson ; Songs of experience ; Spring sadness ; Sweet chance ; Tillie's allsorts","018156147","Monograph","Notated music","Volume","","","","","","","","Association of English Singers and Speakers [organisation] ; Lines, Marian, 1933- [person] ; Roe, Betty [person] ; Patchen, Kenneth, 1911-1972 [person] ; Betteridge, Michael, 1988- [person] ; Magee, John, 1922-1941 [person] ; Blunden, Edmund, 1896-1974 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Blake, William, 1757-1827 [person] ; Sykes, John, 1909-1962 [person] ; Bush, Geoffrey [person] ; Wishart, Peter, 1921-1984 [person] ; Humphreys, Garry, writer [person] ; Bedford, David [person] ; Grant, Julian, 1960- [person] ; Swinburne, Algernon Charles, 1837-1909 [person] ; Jonson, Ben, approximately 1573-1637 [person] ; Pollard, Clive [person] ; Williams, Roderick [person] ; Hugh-Jones, Elaine, 1927- [person] ; Herbert, George, 1593-1633 [person] ; Coleridge-Taylor, Samuel, 1875-1912 [person] ; Reid, Christopher, 1949- [person] ; Hold, Trevor [person] ; Waddell, Helen, 1889-1965, translator [person] ; Davies, W. H. (William Henry), 1871-1940 [person]","","","England","Tewkesbury","Association of English Singers & Speakers ; Goodmusic","2016","","1 score (59 pages), 30 cm","783.342","F.1946.b./9 ; H06/.17212","Blunden, Edmund, 1896-1974--Musical settings ; Herbert, George, 1593-1633--Musical settings ; Song cycles--Excerpts ; Patchen, Kenneth, 1911-1972--Musical settings ; Lines, Marian, 1933- ; Jonson, Ben, 1573?-1637--Musical settings ; Davies, W. H. (William Henry), 1871-1940--Musical settings ; Reid, Christopher, 1949---Musical settings ; Magee, John, 1922-1941--Musical settings ; Songs (High voice) with piano ; Blake, William, 1757-1827--Musical settings ; Swinburne, Algernon Charles, 1837-1909--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Excerpt","English","Includes notes on the composers by Garry Humphreys ; Subtitle on cover: An anthology for singers",""
"A choice of Christina Rossetti's verse","","011585173","Monograph","Language material ; Text","Volume","GB7009961","","9780571090174","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Jennings, Elizabeth, 1926-2001 [person]","","","England","London","Faber","1970","","3-96 pages, 20 cm","821.8","","","","English","paperback Unpriced. sbn 571 09018 4",""
"A choice of Christina Rossetti's verse; selected with an introduction by Elizabeth Jennings","Works. Selections","003165387","Monograph","Language material ; Text","Volume","","","9780571090174","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Jennings, Elizabeth, 1926-2001 [person]","","","England","London","Faber","1970","","96 pages, 20 cm","","X.989/5561","","","","",""
"A linnet in a gilded cage : two-part treble voices and piano : from Ten children's songs opus 1","Children's songs. Linnet in a gilded cage","005252648","Monograph","Notated music","Volume","","","","Finzi, Gerald","1901-1956","person","","Finzi, Gerald, 1901-1956 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England ; United States of America","New York","Boosey & Hawkes","1984","","4 pages, 27 cm","782.66542","E.352.m. (24.)","Songs for soprano voices with piano","","English","Publ. number 6153",""
"A pageant and other poems","","011271991","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","United States of America","Boston","Roberts Brothers","1881","","208 pages","","YA.1988.a.15398","Poetry in English--1837-1900--Texts","","English","",""
"A parish songbook : carols, anthems & hymns","Organ music. Selections","013734119","Monograph","Notated music","Volume","","","","Routh, Francis","","person","composer","Crum, John Macleod Campbell, 1872- [person] ; Welch, Stephan, 1950- [person] ; Herbert, George, 1593-1633 [person] ; Routh, Francis, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Redcliffe","2006","","1 score (45 pages), 30 cm","782.525","G.1509.gg. (15.)","Rossetti, Christina Georgina, 1830-1894--Musical settings ; Anthems ; Advent music ; Hymns ; Crum, John Macleod Campbell, 1872---Musical settings ; Welch, Stephan, 1950---Musical settings ; Easter music ; Choruses, Sacred (Unison) with organ ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Christmas music ; Choruses, Sacred (Mixed voices, 4 parts) with organ ; Herbert, George, 1593-1633--Musical settings","Music","English ; Latin","'The carols and hymns, whether accompanied for solo or unison voices, or unaccompanied for choir SATB, were composed for St. Philip's, and, in later years, for St. Peter's, Hammersmith, some of them settings of words by the vicar, Stephan Welch'--preface ; Includes preface",""
"A voice within : three women poets","","012041514","Monograph","Language material ; Text","Volume","GB9366071","","9781854102621","Browning, Elizabeth Barrett","1806-1861","person","","Dickinson, Emily, 1830-1886 [person] ; Browning, Elizabeth Barrett, 1806-1861 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Aurum","1993","","173 pages","821.00809287","YK.1993.a.15921","English poetry","","English","",""
"All beautiful & splendid things : 12+1 songs for piano solo on poems by women","","019566598","Monograph","Notated music","Volume","","","","Arens, Barbara","","person","composer","Dickinson, Emily, 1830-1886 [person] ; Browning, Elizabeth Barrett, 1806-1861 [person] ; Shakespeare, William, 1564-1616 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Teasdale, Sara, 1884-1933 [person] ; Brontë, Anne, 1820-1849 [person] ; Arens, Barbara, composer [person]","","","England","London","Musica Ferrum","2017","","1 score (24 pages), 31 cm","786.2","G.1316.i. (7.)","Brontë, Anne, 1820-1849--Musical settings ; Songs with piano ; Shakespeare, William, 1564-1616--Musical settings ; Dickinson, Emily, 1830-1886--Musical settings ; Piano music ; Browning, Elizabeth Barrett, 1806-1861--Musical settings ; Teasdale, Sara, 1884-1933--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Song","English","Composer's foreword in English ; Includes QR code giving access to recordings of the songs ; Poems by Emily Dickinson, Sara Teasdale, Anne Brontë, Elizabeth Barrett Browning, Christina Rossetti, Barbara Arens, and the Weird Sisters (that is, William Shakespeare) ; music for piano solo, with words which may optionally be sung or read by the pianist",""
"Almost paradise : poems of Christina Rossetti, 1844-1894 : a new, extensive, ordered selection with notes and commentaries","Works. Selections","010128009","Monograph","Language material ; Text","Volume","GBA412779","","9780954613907","Rossetti, Christina Georgina","1830-1894","person","","Rice-Oxley, M. Andrew [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","Liverpool","","2004","","xxvii, 265 pages, 28 cm","821.8","YC.2004.b.402","","","English","Includes index",""
"An Advent carol : for mixed choir (SATB) and keyboard","This Advent moon shines cold and clear","013472156","Monograph","Notated music","Volume","","","9780193868755","Voth, Ellen Gilson","1972-","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Voth, Ellen Gilson, 1972- [person]","Oxford Advent music","","United States of America","New York","Oxford University Press","2005","","1 score (7 pages), 27 cm","782.5281722","F.638.ii. (22.)","Carols, English ; Advent music ; Choruses, Sacred (Mixed voices, 4 parts) with keyboard instrument ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","First line: This Advent moon shines cold and clear ; Includes biographical note ; Words by Christina Rossetti",""
"An Advent carol : for upper voices (SSA) and keyboard","This Advent moon shines cold and clear","013472165","Monograph","Notated music","Volume","","","9780193868762","Voth, Ellen Gilson","1972-","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Voth, Ellen Gilson, 1972- [person]","Oxford Advent music","","United States of America","New York","Oxford University Press","2005","","1 score (7 pages), 27 cm","782.6281722","F.638.ii. (21.)","Carols, English ; Choruses, Sacred (Women's voices, 3 parts) with keyboard instrument ; Advent music ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","First line: This Advent moon shines cold and clear ; Includes biographical note ; Words by Christina Rossetti",""
"An Appreciation of the late Christina Georgina Rossetti","Christina Georgina Rossetti","003895517","Monograph","Language material ; Text","Volume","","","","Westcott, Brooke Foss","1825-1901","person","","Westcott, Brooke Foss, 1825-1901 [person] ; Nash, Joseph John Glendinning, -1915 [person]","","","England ; United States of America","London ; New York","E. & J. B. Young ; Society for Promoting Christian Knowledge","1899","","24 pages, 1 leaf of plates, illustrations, 17 cm (12°)","","RB.23.a.33015 ; X.108/7384","Christian poetry, English--19th century--History and criticism ; Rossetti, Christina Georgina, 1830-1894 ; Women and literature--England--History--19th century","","English","Printer's name from colophon ; With a half-title ; plates = frontispiece",""
"An angel in the house : three Victorian poets : Emily Brontë, Elizabeth Barrett Browning, Christina Rossetti","","014465332","Monograph","Language material ; Text","Volume","GBB208494","","9780901291882","Dobson, Helen","","person","author","Dobson, Helen, author [person] ; National Association for the Teaching of English [organisation]","NATE classic reading","","England","Sheffield","National Association for the Teaching of English","2002","","44 pages, illustrations, portraits, 30 cm","821.8099287","YK.2012.b.1559","Browning, Elizabeth Barrett, 1806-1861--Criticism and interpretation ; Brontë, Emily, 1818-1848--Criticism and interpretation ; Rossetti, Christina Georgina, 1830-1894--Criticism and interpretation","","English","",""
"An appreciation of the late Christina Georgina Rossetti","","013866757","Monograph","Language material ; Text","Volume","","","9780841428188","Westcott, Brooke Foss","1825-1901","person","","Westcott, Brooke Foss, 1825-1901 [person]","","","United States of America","Folcroft, Pennsylvania","Folcroft","1973","","24 pages, front, 24 cm","821.8","V83/22788","Rossetti, Christina Georgina, 1830-1894--Religion ; Christian poetry, English--History and criticism ; Women and literature--England--History--19th century","","English","reprinted of the 1899 edition published by the Society for Promoting Christian Knowledge, London",""
"An echo from willow-wood : SATB unaccompanied","","017712834","Monograph","Notated music","Volume","","","","Baigent, Bertie","1995-","person","composer","Baigent, Bertie, 1995-, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Choral now","","England","London","Stainer & Bell","2015","","1 score (10 pages), 30 cm","782.542","G.31.uu. (14.)","Part songs, English ; Choruses, Secular (Mixed voices, 4 parts), Unaccompanied ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","For unaccompanied mixed voices (SATB chorus with ST soli) ; Includes piano reduction for rehearsal only ; Words by Christina Rossetti",""
"Angels. (Christ our All in All. Church Seasons in Verse.)","","003165324","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","S.P.C.K","1910","","3 parts, 32þ","","11648.de.34","","","","",""
"Annus Domini; a prayer for each day of the year, founded on a text of Holy Scripture [Edited by H. W. Burrows.]","","003165325","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Burrows, Henry William, Canon of Rochester [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London ; Oxford","","1874","","(32°)","","3457.a.59","","","","",""
"Appendix","Christina Georgina Rossetti [With a portrait.]","003617821","Monograph","Language material ; Text","Volume","","","","Thomas, Eleanor Walter","","person","","Thomas, Eleanor Walter [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Columbia University Studies in English and Comparative Literature","","United States of America","New York","","1931","","viii, 229 pages (8°)","","Ac.2688/12. (20.)","","","","",""
"Appendix","Christina Georgina Rossetti: an essay ... Articles contributed to the Educational Review","003772804","Monograph","Language material ; Text","Volume","","","","","","","","Rossetti, Christina Georgina, 1830-1894 [person]","","","India","Madras","","1914","","33 pages (4°)","","10803.f.19. (1.)","","","","",""
"Appendix","Christina Rossetti & her Poetry [With a portrait.]","000357166","Monograph","Language material ; Text","Volume","","","","Birkhead, Edith","","person","","Birkhead, Edith [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Poetry & Life Series","number 36 [Poetry & Life Series]","England","London","G. G. Harrap","1930","","126 pages (8°)","","11863.a.11/36","","","","",""
"Appendix","Christina Rossetti [With a portrait.]","001611763","Monograph","Language material ; Text","Volume","","","","Battiscombe, Georgina","","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Battiscombe, Georgina [person]","Writers and their work","number 189 [Writers and their work]","England","London","British Council ; Longmans Green ; National Book League","1965","","39 pages (8°)","","W.P.9502/189","","","","",""
"Appendix","Christina Rossetti [With plates, including portraits.]","002745231","Monograph","Language material ; Text","Volume","","","","Packer, Lona Mosk","","person","","Packer, Lona Mosk [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","United States of America","Berkeley ; Cambridge ; Los Angeles","Cambridge University Press ; University of California Press","1963","","xx, 459 pages (8°)","","W26/6257 ; X.900/242","","","","",""
"Appendix","Christina Rossetti als viktorianische Dichterin","001703130","Monograph","Language material ; Text","Volume","","","","Hoennighausen, Gisela","","person","","Hoennighausen, Gisela [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","","","Bonn","1969","","vii, 332 pages a 31, illustrations bibliography pages a 20-a 31, 21 cm","","X.900/19759","","","German","",""
"Appendix","Christina Rossetti","003531208","Monograph","Language material ; Text","Volume","","","","Stuart, Dorothy Margaret","","person","","Stuart, Dorothy Margaret [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","English Men of Letters","","England","London","Macmillan","1930","","viii, 200 pages (8°)","","2326.bb.25","","","","",""
"Appendix","Christina Rossetti","003531209","Monograph","Language material ; Text","Volume","","","","Stuart, Dorothy Margaret","","person","","Stuart, Dorothy Margaret [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","English Association. Pamphlet","number 78 [English Association. Pamphlet]","England","London","","1931","","18 pages (8°)","","Ac.2664","","","","",""
"Appendix","Christina Rossetti. A portrait with background","004013407","Monograph","Language material ; Text","Volume","","","","Zaturenska, Marya","1902-1982","person","","Zaturenska, Marya, 1902-1982 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","United States of America","New York","Macmillan","1949","","311 pages (8°)","","10863.e.40","","","","",""
"Appendix","Christina Rossetti. A study","003373733","Monograph","Language material ; Text","Volume","","","","Shove, Fredegond","","person","","Shove, Fredegond [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","","Cambridge","University Press","1931","","xvi, 120 pages (8°)","","10823.aa.7","","","","",""
"Appendix","Christina Rossetti. Her life and religion [With plates, including portraits.]","003261957","Monograph","Language material ; Text","Volume","","","","Sawtell, Margaret","","person","","Sawtell, Margaret [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","A. R. Mowbray","1955","","160 pages (8°)","","4920.h.39 ; W63/3993","","","","",""
"Appendix","Christina Rossetti: a biographical and critical study, etc. (Bibliography by J. P. Anderson.)","000259916","Monograph","Language material ; Text","Volume","","","","Bell, Henry Thomas Mackenzie","","person","","Bell, Henry Thomas Mackenzie [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Anderson, John Parker, 1841-1925 [person]","","","England","London","Hurst & Blackett","1898","","xvi, 364 pages (8°)","","10856.f.15","","","","",""
